source,source_name,target,target_name,title,weight
nm0000949,Cate Blanchett,nm0935653,Ray Winstone,Indiana Jones and the Kingdom of the Crystal Skull,-1
nm0695435,Chris Pratt,nm0339460,Judy Greer,Jurassic World,-1
nm0001838,Rachel Weisz,nm0001804,Stanley Tucci,The Lovely Bones,-1
nm0001570,Edward Norton,nm0000353,Willem Dafoe,Motherless Brooklyn,-1
nm0001570,Edward Norton,nm0134072,Bobby Cannavale,Motherless Brooklyn,-1
nm0000353,Willem Dafoe,nm0134072,Bobby Cannavale,Motherless Brooklyn,-1
nm0000949,Cate Blanchett,nm0842770,Tilda Swinton,The Curious Case of Benjamin Button,-1
nm1093951,Aaron Taylor-Johnson,nm2810287,David Dastmalchian,A Million Little Pieces,-1
nm0000195,Bill Murray,nm0000353,Willem Dafoe,Fantastic Mr. Fox,-1
nm0413168,Hugh Jackman,nm1431940,Evangeline Lilly,Real Steel,-1
nm0413168,Hugh Jackman,nm1107001,Anthony Mackie,Real Steel,-1
nm1431940,Evangeline Lilly,nm1107001,Anthony Mackie,Real Steel,-1
nm0000652,James Spader,nm0000169,Tommy Lee Jones,Lincoln,-1
nm0757855,Zoe Saldana,nm0000458,William Hurt,Vantage Point,-1
nm1157048,Zachary Levi,nm0005023,Djimon Hounsou,Shazam!,-1
nm0000604,John C. Reilly,nm0000161,Salma Hayek,Cirque du Freak: The Vampire's Assistant,-1
nm0000604,John C. Reilly,nm0829032,Ray Stevenson,Cirque du Freak: The Vampire's Assistant,-1
nm0000161,Salma Hayek,nm0829032,Ray Stevenson,Cirque du Freak: The Vampire's Assistant,-1
nm0413168,Hugh Jackman,nm0005351,Ryan Reynolds,X-Men Origins: Wolverine,-1
nm0413168,Hugh Jackman,nm0005351,Ryan Reynolds,X-Men Origins: Wolverine,-1
nm0262635,Chris Evans,nm0005023,Djimon Hounsou,Push,-1
nm0000204,Natalie Portman,nm0424060,Scarlett Johansson,The Other Boleyn Girl,-1
nm0000204,Natalie Portman,nm1212722,Benedict Cumberbatch,The Other Boleyn Girl,-1
nm0424060,Scarlett Johansson,nm1212722,Benedict Cumberbatch,The Other Boleyn Girl,-1
nm0350453,Jake Gyllenhaal,nm0000547,Alfred Molina,Prince of Persia: The Sands of Time,-1
nm0000128,Russell Crowe,nm1046097,Rachel McAdams,State of Play,-1
nm0424060,Scarlett Johansson,nm0842770,Tilda Swinton,"Hail, Caesar!",-1
nm0424060,Scarlett Johansson,nm0842770,Tilda Swinton,"Hail, Caesar!",-1
nm0000156,Jeff Goldblum,nm0000353,Willem Dafoe,Adam Resurrected,-1
nm0252961,Idris Elba,nm0757855,Zoe Saldana,The Losers,-1
nm0252961,Idris Elba,nm0262635,Chris Evans,The Losers,-1
nm0757855,Zoe Saldana,nm0262635,Chris Evans,The Losers,-1
nm0001570,Edward Norton,nm0342029,Frank Grillo,Pride and Glory,-1
nm0000168,Samuel L. Jackson,nm0740264,Michael Rooker,Jumper,-1
nm0350453,Jake Gyllenhaal,nm0339460,Judy Greer,Love & Other Drugs,-1
nm0350453,Jake Gyllenhaal,nm0000204,Natalie Portman,Brothers,-1
nm1659221,Sebastian Stan,nm0000458,William Hurt,The Last Full Measure,-1
nm0005351,Ryan Reynolds,nm0000313,Jeff Bridges,R.I.P.D.,-1
nm0000332,Don Cheadle,nm0836121,Michael Stuhlbarg,Miles Ahead,-1
nm0881631,Karl Urban,nm0757855,Zoe Saldana,Star Trek,-1
nm0177896,Bradley Cooper,nm0004753,Leslie Bibb,The Midnight Meat Train,-1
nm0000204,Natalie Portman,nm0177896,Bradley Cooper,"New York, I Love You",-1
nm0004937,Jamie Foxx,nm0177896,Bradley Cooper,Valentine's Day,-1
nm0004950,Jennifer Garner,nm0000140,Michael Douglas,Ghosts of Girlfriends Past,-1
nm0004937,Jamie Foxx,nm0000375,Robert Downey Jr.,The Soloist,-1
nm0079273,Paul Bettany,nm0881631,Karl Urban,Priest,-1
nm0001401,Angelina Jolie,nm0272173,Colm Feore,Changeling,-1
nm1385871,Olga Kurylenko,nm1092086,David Harbour,Quantum of Solace,-1
nm1093951,Aaron Taylor-Johnson,nm0647634,Elizabeth Olsen,Godzilla,-1
nm0000168,Samuel L. Jackson,nm0424060,Scarlett Johansson,The Spirit,-1
nm0005351,Ryan Reynolds,nm0001838,Rachel Weisz,"Definitely, Maybe",-1
nm0000906,Annette Bening,nm0749263,Mark Ruffalo,The Kids Are All Right,-1
nm0001838,Rachel Weisz,nm0749263,Mark Ruffalo,The Brothers Bloom,-1
nm0935653,Ray Winstone,nm2017943,Hayley Atwell,The Sweeney,-1
nm0586568,Mads Mikkelsen,nm0507207,Gary Lewis,Valhalla Rising,-1
nm1002641,Dominic Cooper,nm2017943,Hayley Atwell,The Duchess,-1
nm0005377,Sam Rockwell,nm0532193,Matthew Macfadyen,Frost/Nixon,-1
nm0005377,Sam Rockwell,nm0429363,Toby Jones,Frost/Nixon,-1
nm0532193,Matthew Macfadyen,nm0429363,Toby Jones,Frost/Nixon,-1
nm0719637,Jeremy Renner,nm1107001,Anthony Mackie,The Hurt Locker,-1
nm0719637,Jeremy Renner,nm1431940,Evangeline Lilly,The Hurt Locker,-1
nm1107001,Anthony Mackie,nm1431940,Evangeline Lilly,The Hurt Locker,-1
nm0915989,Hugo Weaving,nm0339460,Judy Greer,The Key Man,-1
nm0293509,Martin Freeman,nm0035514,Richard Armitage,The Hobbit: An Unexpected Journey,-1
nm0001401,Angelina Jolie,nm0252230,Chiwetel Ejiofor,Salt,-1
nm0000204,Natalie Portman,nm1659221,Sebastian Stan,Black Swan,-1
nm0000204,Natalie Portman,nm1659221,Sebastian Stan,Black Swan,-1
nm0000204,Natalie Portman,nm1659221,Sebastian Stan,Black Swan,-1
nm0000204,Natalie Portman,nm1659221,Sebastian Stan,Black Swan,-1
nm0000128,Russell Crowe,nm0000949,Cate Blanchett,Robin Hood,-1
nm0000128,Russell Crowe,nm0532193,Matthew Macfadyen,Robin Hood,-1
nm0000128,Russell Crowe,nm0000458,William Hurt,Robin Hood,-1
nm0000949,Cate Blanchett,nm0532193,Matthew Macfadyen,Robin Hood,-1
nm0000949,Cate Blanchett,nm0000458,William Hurt,Robin Hood,-1
nm0532193,Matthew Macfadyen,nm0000458,William Hurt,Robin Hood,-1
nm0005351,Ryan Reynolds,nm0000353,Willem Dafoe,Fireflies in the Garden,-1
nm0000474,Michael Keaton,nm0134072,Bobby Cannavale,The Merry Gentleman,-1
nm0935653,Ray Winstone,nm0836121,Michael Stuhlbarg,Hugo,-1
nm0429363,Toby Jones,nm0000195,Bill Murray,City of Ember,-1
nm0000164,Anthony Hopkins,nm0424060,Scarlett Johansson,Hitchcock,-1
nm0000164,Anthony Hopkins,nm0836121,Michael Stuhlbarg,Hitchcock,-1
nm0424060,Scarlett Johansson,nm0836121,Michael Stuhlbarg,Hitchcock,-1
nm1046097,Rachel McAdams,nm0671567,Michael Peña,The Lucky Ones,-1
nm0671567,Michael Peña,nm0740264,Michael Rooker,Fantasy Island,-1
nm0000375,Robert Downey Jr.,nm0000179,Jude Law,Sherlock Holmes,-1
nm0000375,Robert Downey Jr.,nm1046097,Rachel McAdams,Sherlock Holmes,-1
nm0000179,Jude Law,nm1046097,Rachel McAdams,Sherlock Holmes,-1
nm0134072,Bobby Cannavale,nm2962353,Pom Klementieff,Thunder Force,-1
nm0001804,Stanley Tucci,nm0134072,Bobby Cannavale,Jolt,-1
nm0262635,Chris Evans,nm0169806,Taika Waititi,Lightyear,-1
nm6328300,Winston Duke,nm0938950,Benedict Wong,Nine Days,-1
nm1212722,Benedict Cumberbatch,nm0429363,Toby Jones,The Electrical Life of Louis Wain,-1
nm6073955,Florence Pugh,nm2110418,Gemma Chan,Don't Worry Darling,-1
nm1107001,Anthony Mackie,nm0740264,Michael Rooker,Louis,-1
nm0000652,James Spader,nm0993507,Kat Dennings,Shorts,-1
nm0324658,Walton Goggins,nm0350453,Jake Gyllenhaal,Spirit Untamed,-1
nm0012078,Scott Adkins,nm2333360,Zara Phythian,Real Men,-1
nm0430107,Michael B. Jordan,nm1935086,Tessa Thompson,Creed III,-1
nm0430107,Michael B. Jordan,nm3718007,Jonathan Majors,Creed III,-1
nm1935086,Tessa Thompson,nm3718007,Jonathan Majors,Creed III,-1
nm0000313,Jeff Bridges,nm3229685,Kit Harington,Seventh Son,-1
nm0000313,Jeff Bridges,nm0005023,Djimon Hounsou,Seventh Son,-1
nm3229685,Kit Harington,nm0005023,Djimon Hounsou,Seventh Son,-1
nm0000906,Annette Bening,nm0000168,Samuel L. Jackson,Mother and Child,-1
nm0000620,Mickey Rourke,nm0000673,Marisa Tomei,The Wrestler,-1
nm0079273,Paul Bettany,nm0339460,Judy Greer,Uncle Frank,-1
nm0005351,Ryan Reynolds,nm0169806,Taika Waititi,Green Lantern,-1
nm0005351,Ryan Reynolds,nm0000291,Angela Bassett,Green Lantern,-1
nm0005351,Ryan Reynolds,nm0169806,Taika Waititi,Green Lantern,-1
nm0005351,Ryan Reynolds,nm0000291,Angela Bassett,Green Lantern,-1
nm0169806,Taika Waititi,nm0000291,Angela Bassett,Green Lantern,-1
nm0252961,Idris Elba,nm1939267,Tip 'T.I.' Harris,Takers,-1
nm0001570,Edward Norton,nm0625789,Tim Blake Nelson,Leaves of Grass,-1
nm0001570,Edward Norton,nm0625789,Tim Blake Nelson,Leaves of Grass,-1
nm0000332,Don Cheadle,nm1092086,David Harbour,No Sudden Move,-1
nm0748620,Paul Rudd,nm0269463,Jon Favreau,"I Love You, Man",-1
nm0001570,Edward Norton,nm1176985,Dave Bautista,Glass Onion,-1
nm3918035,Zendaya,nm0001745,Stellan Skarsgård,Dune: Part One,-1
nm0000164,Anthony Hopkins,nm0429363,Toby Jones,The Rite,-1
nm0293509,Martin Freeman,nm0035514,Richard Armitage,The Hobbit: The Desolation of Smaug,-1
nm0005377,Sam Rockwell,nm0938950,Benedict Wong,Moon,-1
nm0000673,Marisa Tomei,nm0671567,Michael Peña,The Lincoln Lawyer,-1
nm0000547,Alfred Molina,nm0935653,Ray Winstone,Rango,-1
nm0719637,Jeremy Renner,nm0001838,Rachel Weisz,The Bourne Legacy,-1
nm0719637,Jeremy Renner,nm0001570,Edward Norton,The Bourne Legacy,-1
nm0719637,Jeremy Renner,nm1015684,Corey Stoll,The Bourne Legacy,-1
nm0001838,Rachel Weisz,nm0001570,Edward Norton,The Bourne Legacy,-1
nm0001838,Rachel Weisz,nm1015684,Corey Stoll,The Bourne Legacy,-1
nm0001570,Edward Norton,nm1015684,Corey Stoll,The Bourne Legacy,-1
nm0004937,Jamie Foxx,nm0004753,Leslie Bibb,Law Abiding Citizen,-1
nm0000288,Christian Bale,nm0757855,Zoe Saldana,Out of the Furnace,-1
nm0429363,Toby Jones,nm1534698,Zawe Ashton,St Trinian's 2: The Legend of Fritton's Gold,-1
nm0000230,Sylvester Stallone,nm0846687,Faran Tahir,Escape Plan,-1
nm0000458,William Hurt,nm0252230,Chiwetel Ejiofor,Endgame,-1
nm0000375,Robert Downey Jr.,nm0004937,Jamie Foxx,Due Date,-1
nm0000353,Willem Dafoe,nm0671567,Michael Peña,"My Son, My Son, What Have Ye Done",-1
nm0000474,Michael Keaton,nm0000168,Samuel L. Jackson,RoboCop,-1
nm0000204,Natalie Portman,nm0429363,Toby Jones,Your Highness,-1
nm0842770,Tilda Swinton,nm0000604,John C. Reilly,We Need to Talk About Kevin,-1
nm0001401,Angelina Jolie,nm0079273,Paul Bettany,The Tourist,-1
nm0177896,Bradley Cooper,nm1046097,Rachel McAdams,Aloha,-1
nm0177896,Bradley Cooper,nm0000195,Bill Murray,Aloha,-1
nm1046097,Rachel McAdams,nm0000195,Bill Murray,Aloha,-1
nm0177896,Bradley Cooper,nm0429363,Toby Jones,Serena,-1
nm2110418,Gemma Chan,nm1030244,Chukwudi Iwuji,Exam,-1
nm0000128,Russell Crowe,nm1176985,Dave Bautista,The Man with the Iron Fists,-1
nm1093951,Aaron Taylor-Johnson,nm3109964,Brian Tyree Henry,Bullet Train,-1
nm2110418,Gemma Chan,nm1526352,Jaimie Alexander,London Fields,-1
nm2394794,Karen Gillan,nm0252230,Chiwetel Ejiofor,The Life of Chuck,-1
nm2394794,Karen Gillan,nm1089991,Tom Hiddleston,The Life of Chuck,-1
nm2394794,Karen Gillan,nm2810287,David Dastmalchian,The Life of Chuck,-1
nm0252230,Chiwetel Ejiofor,nm1089991,Tom Hiddleston,The Life of Chuck,-1
nm0252230,Chiwetel Ejiofor,nm2810287,David Dastmalchian,The Life of Chuck,-1
nm1089991,Tom Hiddleston,nm2810287,David Dastmalchian,The Life of Chuck,-1
nm0342029,Frank Grillo,nm0380073,Maximiliano Hernández,Warrior,-1
nm0004874,Vin Diesel,nm0000168,Samuel L. Jackson,xXx: Return of Xander Cage,-1
nm0293509,Martin Freeman,nm0429363,Toby Jones,Rembrandt's J'Accuse,-1
nm0647634,Elizabeth Olsen,nm0000168,Samuel L. Jackson,Oldboy,-1
nm0647634,Elizabeth Olsen,nm2962353,Pom Klementieff,Oldboy,-1
nm0000168,Samuel L. Jackson,nm2962353,Pom Klementieff,Oldboy,-1
nm0035514,Richard Armitage,nm0429363,Toby Jones,Uncle Vanya,-1
nm0004937,Jamie Foxx,nm0012078,Scott Adkins,Day Shift,-1
nm0000604,John C. Reilly,nm0000673,Marisa Tomei,Cyrus,-1
nm2143282,Lupita Nyong'o,nm0005023,Djimon Hounsou,A Quiet Place: Day One,-1
nm0935653,Ray Winstone,nm0000291,Angela Bassett,Damsel,-1
nm0004950,Jennifer Garner,nm0123092,Ty Burrell,Butter,-1
nm1212722,Benedict Cumberbatch,nm1092086,David Harbour,Black Mass,-1
nm2394794,Karen Gillan,nm3008739,Rob Delaney,The Bubble,-1
nm0671567,Michael Peña,nm3008739,Rob Delaney,Tom & Jerry,-1
nm0000602,Robert Redford,nm0001804,Stanley Tucci,The Company You Keep,-1
nm0000602,Robert Redford,nm0005024,Terrence Howard,The Company You Keep,-1
nm0000602,Robert Redford,nm0001804,Stanley Tucci,The Company You Keep,-1
nm0000602,Robert Redford,nm0005024,Terrence Howard,The Company You Keep,-1
nm0001804,Stanley Tucci,nm0005024,Terrence Howard,The Company You Keep,-1
nm0000474,Michael Keaton,nm0829032,Ray Stevenson,The Other Guys,-1
nm0000474,Michael Keaton,nm0000168,Samuel L. Jackson,The Other Guys,-1
nm0829032,Ray Stevenson,nm0000168,Samuel L. Jackson,The Other Guys,-1
nm1165110,Chris Hemsworth,nm4043618,Tom Holland,In the Heart of the Sea,-1
nm0339460,Judy Greer,nm1195855,Lee Pace,Marmaduke,-1
nm0413168,Hugh Jackman,nm0350453,Jake Gyllenhaal,Prisoners,-1
nm0413168,Hugh Jackman,nm0005024,Terrence Howard,Prisoners,-1
nm0350453,Jake Gyllenhaal,nm0005024,Terrence Howard,Prisoners,-1
nm0000620,Mickey Rourke,nm0000195,Bill Murray,Passion Play,-1
nm0757855,Zoe Saldana,nm1212722,Benedict Cumberbatch,Star Trek Into Darkness,-1
nm0757855,Zoe Saldana,nm0881631,Karl Urban,Star Trek Into Darkness,-1
nm1212722,Benedict Cumberbatch,nm0881631,Karl Urban,Star Trek Into Darkness,-1
nm0000169,Tommy Lee Jones,nm0836121,Michael Stuhlbarg,Men in Black³,-1
nm0004874,Vin Diesel,nm0881631,Karl Urban,Riddick,-1
nm0004874,Vin Diesel,nm1176985,Dave Bautista,Riddick,-1
nm0881631,Karl Urban,nm1176985,Dave Bautista,Riddick,-1
nm1165110,Chris Hemsworth,nm0671567,Michael Peña,12 Strong,-1
nm0000288,Christian Bale,nm0429363,Toby Jones,The Pale Blue Eye,-1
nm0424060,Scarlett Johansson,nm0001570,Edward Norton,Asteroid City,-1
nm0749263,Mark Ruffalo,nm0000353,Willem Dafoe,Poor Things,-1
nm0000161,Salma Hayek,nm0293509,Martin Freeman,The Pirates! Band of Misfits,-1
nm0005351,Ryan Reynolds,nm1072555,Morena Baccarin,Deadpool,-1
nm0005351,Ryan Reynolds,nm1072555,Morena Baccarin,Deadpool,-1
nm0413168,Hugh Jackman,nm0000179,Jude Law,Rise of the Guardians,-1
nm0252961,Idris Elba,nm0938950,Benedict Wong,Prometheus,-1
nm0740264,Michael Rooker,nm1385871,Olga Kurylenko,White Elephant,-1
nm0413168,Hugh Jackman,nm3918035,Zendaya,The Greatest Showman,-1
nm0000156,Jeff Goldblum,nm0000168,Samuel L. Jackson,Adventures in Zambezia,-1
nm0000949,Cate Blanchett,nm0625789,Tim Blake Nelson,Guillermo del Toro's Pinocchio,-1
nm0000353,Willem Dafoe,nm0000973,Benjamin Bratt,Dead for a Dollar,-1
nm1089991,Tom Hiddleston,nm0647634,Elizabeth Olsen,I Saw the Light,-1
nm0000620,Mickey Rourke,nm0012078,Scott Adkins,Section 8,-1
nm0005023,Djimon Hounsou,nm0000164,Anthony Hopkins,Rebel Moon - Part One: A Child of Fire,-1
nm0430107,Michael B. Jordan,nm0625789,Tim Blake Nelson,Fantastic Four,-1
nm0532193,Matthew Macfadyen,nm0829032,Ray Stevenson,The Three Musketeers,-1
nm0000239,Liv Tyler,nm0740264,Michael Rooker,Super,-1
nm0000239,Liv Tyler,nm0002888,Stephen Blackehart,Super,-1
nm0740264,Michael Rooker,nm0002888,Stephen Blackehart,Super,-1
nm0000375,Robert Downey Jr.,nm0000179,Jude Law,Sherlock Holmes: A Game of Shadows,-1
nm0000375,Robert Downey Jr.,nm1046097,Rachel McAdams,Sherlock Holmes: A Game of Shadows,-1
nm0000179,Jude Law,nm1046097,Rachel McAdams,Sherlock Holmes: A Game of Shadows,-1
nm3918035,Zendaya,nm6073955,Florence Pugh,Dune: Part Two,-1
